jam_strength,distance_nm,total_simulations,success_count,success_probability,hit_probability
12,1.0,5000,1123,0.2246,0.7754
12,2.0,5000,2032,0.4064,0.5936
12,3.0,5000,2671,0.5342,0.4658
12,4.0,5000,3252,0.6504,0.3496
12,5.0,5000,3635,0.727,0.273
12,6.0,5000,3846,0.7692,0.2308
12,7.0,5000,3856,0.7712,0.2288
12,8.0,5000,3965,0.793,0.20699999999999996
12,9.0,5000,4029,0.8058,0.19420000000000004
12,10.0,5000,4151,0.8302,0.16979999999999995
12,11.0,5000,4201,0.8402,0.15980000000000005
12,12.0,5000,4233,0.8466,0.15339999999999998
12,13.0,5000,4277,0.8554,0.14459999999999995
12,14.0,5000,4219,0.8438,0.1562
12,15.0,5000,4293,0.8586,0.14139999999999997
12,16.0,5000,4251,0.8502,0.14980000000000004
12,17.0,5000,4305,0.861,0.139
12,18.0,5000,4359,0.8718,0.12819999999999998
12,19.0,5000,4312,0.8624,0.13759999999999994
12,20.0,5000,4377,0.8754,0.12460000000000004
12,21.0,5000,4312,0.8624,0.13759999999999994
12,22.0,5000,4388,0.8776,0.12239999999999995
12,23.0,5000,4385,0.877,0.123
12,24.0,5000,4382,0.8764,0.12360000000000004
12,25.0,5000,4411,0.8822,0.11780000000000002
12,26.0,5000,4472,0.8944,0.10560000000000003
12,27.0,5000,4418,0.8836,0.11639999999999995
12,28.0,5000,4379,0.8758,0.12419999999999998
12,29.0,5000,4382,0.8764,0.12360000000000004
12,30.0,5000,4414,0.8828,0.11719999999999997
12,31.0,5000,4440,0.888,0.11199999999999999
12,32.0,5000,4432,0.8864,0.11360000000000003
12,33.0,5000,4448,0.8896,0.11040000000000005
12,34.0,5000,4369,0.8738,0.12619999999999998
12,35.0,5000,4388,0.8776,0.12239999999999995
12,36.0,5000,4430,0.886,0.11399999999999999
12,37.0,5000,4447,0.8894,0.11060000000000003
12,38.0,5000,4459,0.8918,0.10819999999999996
12,39.0,5000,4486,0.8972,0.1028
12,40.0,5000,4469,0.8938,0.10619999999999996
12,41.0,5000,4398,0.8796,0.12039999999999995
12,42.0,5000,4426,0.8852,0.11480000000000001
12,43.0,5000,4424,0.8848,0.11519999999999997
12,44.0,5000,4420,0.884,0.11599999999999999
12,45.0,5000,4458,0.8916,0.10840000000000005
12,46.0,5000,4455,0.891,0.10899999999999999
12,47.0,5000,4469,0.8938,0.10619999999999996
12,48.0,5000,4388,0.8776,0.12239999999999995
12,49.0,5000,4455,0.891,0.10899999999999999
12,50.0,5000,4459,0.8918,0.10819999999999996
