jam_strength,distance_nm,total_simulations,success_count,success_probability,hit_probability
4,1.0,5000,423,0.0846,0.9154
4,2.0,5000,781,0.1562,0.8438
4,3.0,5000,1053,0.2106,0.7894
4,4.0,5000,1395,0.279,0.721
4,5.0,5000,1629,0.3258,0.6742
4,6.0,5000,1874,0.3748,0.6252
4,7.0,5000,1904,0.3808,0.6192
4,8.0,5000,1981,0.3962,0.6038
4,9.0,5000,2124,0.4248,0.5751999999999999
4,10.0,5000,2215,0.443,0.5569999999999999
4,11.0,5000,2234,0.4468,0.5532
4,12.0,5000,2325,0.465,0.5349999999999999
4,13.0,5000,2277,0.4554,0.5446
4,14.0,5000,2231,0.4462,0.5538000000000001
4,15.0,5000,2209,0.4418,0.5582
4,16.0,5000,2337,0.4674,0.5326
4,17.0,5000,2381,0.4762,0.5238
4,18.0,5000,2412,0.4824,0.5176000000000001
4,19.0,5000,2495,0.499,0.501
4,20.0,5000,2370,0.474,0.526
4,21.0,5000,2355,0.471,0.529
4,22.0,5000,2388,0.4776,0.5224
4,23.0,5000,2501,0.5002,0.4998
4,24.0,5000,2485,0.497,0.503
4,25.0,5000,2444,0.4888,0.5112
4,26.0,5000,2501,0.5002,0.4998
4,27.0,5000,2537,0.5074,0.49260000000000004
4,28.0,5000,2425,0.485,0.515
4,29.0,5000,2433,0.4866,0.5134000000000001
4,30.0,5000,2412,0.4824,0.5176000000000001
4,31.0,5000,2494,0.4988,0.5012
4,32.0,5000,2449,0.4898,0.5102
4,33.0,5000,2451,0.4902,0.5098
4,34.0,5000,2507,0.5014,0.49860000000000004
4,35.0,5000,2440,0.488,0.512
4,36.0,5000,2467,0.4934,0.5065999999999999
4,37.0,5000,2495,0.499,0.501
4,38.0,5000,2539,0.5078,0.49219999999999997
4,39.0,5000,2575,0.515,0.485
4,40.0,5000,2531,0.5062,0.4938
4,41.0,5000,2505,0.501,0.499
4,42.0,5000,2552,0.5104,0.48960000000000004
4,43.0,5000,2542,0.5084,0.49160000000000004
4,44.0,5000,2537,0.5074,0.49260000000000004
4,45.0,5000,2547,0.5094,0.49060000000000004
4,46.0,5000,2584,0.5168,0.48319999999999996
4,47.0,5000,2596,0.5192,0.4808
4,48.0,5000,2488,0.4976,0.5024
4,49.0,5000,2493,0.4986,0.5014000000000001
4,50.0,5000,2490,0.498,0.502
