template_key,template_name,mode,distance_nm,angle_deg,target_range_nm,power_coeff_db,radar_direction_gain_db,jammer_mode_power_db,effective_jammer_power_db,jsr_db,jam_probability
omni_search,Omni Search Radar,spot,10,0,20.0,8.0,0.9133455017471928,45.0,45.0,35.30736497522475,0.9991432206510374
omni_search,Omni Search Radar,spot,10,10,20.0,8.0,1.1490309263891016,45.0,45.0,35.543050399866665,0.9991826374278353
omni_search,Omni Search Radar,spot,10,20,20.0,8.0,0.47937131240796993,45.0,45.0,34.873390785885526,0.9990656065795777
omni_search,Omni Search Radar,spot,10,30,20.0,8.0,-0.4418193853845104,45.0,45.0,33.95220008809304,0.998876789144282
omni_search,Omni Search Radar,spot,10,40,20.0,8.0,-0.8930968831600848,45.0,45.0,33.50092259031748,0.9987708279252406
omni_search,Omni Search Radar,spot,10,50,20.0,8.0,-1.2786104954730204,45.0,45.0,33.115408978004545,0.9986724368571399
omni_search,Omni Search Radar,spot,10,60,20.0,8.0,-1.716725554961226,45.0,45.0,32.677293918516334,0.9985510393824673
omni_search,Omni Search Radar,spot,10,70,20.0,8.0,-2.1724270298681465,45.0,45.0,32.22159244360942,0.9984129951069594
omni_search,Omni Search Radar,spot,10,80,20.0,8.0,-2.8379356709282555,45.0,45.0,31.556083802549303,0.9981874687615384
omni_search,Omni Search Radar,spot,10,90,20.0,8.0,-3.0000000000000004,45.0,45.0,31.394019473477563,0.9981278687301337
omni_search,Omni Search Radar,spot,20,0,20.0,8.0,0.9133455017471928,45.0,45.0,29.286765061945125,0.9971493485579866
omni_search,Omni Search Radar,spot,20,10,20.0,8.0,1.1490309263891016,45.0,45.0,29.52245048658704,0.9972802452205427
omni_search,Omni Search Radar,spot,20,20,20.0,8.0,0.47937131240796993,45.0,45.0,28.8527908726059,0.9968916751775787
omni_search,Omni Search Radar,spot,20,30,20.0,8.0,-0.4418193853845104,45.0,45.0,27.93160017481342,0.9962652030413769
omni_search,Omni Search Radar,spot,20,40,20.0,8.0,-0.8930968831600848,45.0,45.0,27.480322677037854,0.9959138784209194
omni_search,Omni Search Radar,spot,20,50,20.0,8.0,-1.2786104954730204,45.0,45.0,27.09480906472492,0.995587808467965
